性别,大学,入学年,J值
M,贵州大学,2017,235
M,贵州工程应用技术学院,2017,44
F,陕西科技大学,2015,819
M,贵州工程应用技术学院,2017,96
M,贵州工程应用技术学院,2017,123
M,桂林理工大学,2016,361
F,云南林业职业技术学院,2017,14
M,曲靖师范学院,2015,26
M,陕西科技大学,2015,413
M,广西师范学院师园学院,2016,321
M,陕西科技大学,2015,239
M,贵州理工学院,2015,214
M,广西师范大学,2017,156
F,陕西科技大学,2015,533
M,陕西科技大学,2015,409
M,广西师范大学,2016,495
M,西北农林科技大学,2016,332
M,贵州理工学院,2017,69
M,陕西科技大学,2015,2050
F,广西师范学院,2017,1007
M,贵州工程应用技术学院,2017,312
M,陕西科技大学,2017,717
M,贵州工程应用技术学院,2017,126
M,东华大学,2017,99
M,贵州工程应用技术学院,2017,143
M,四川信息职业技术学院,2017,966
M,中国地质大学（武汉）,2016,114
F,广西师范大学,2016,403
M,广西农业职业技术学院,2016,877
M,陕西科技大学,2015,534
M,西北农林科技大学,2017,1128
F,西北农林科技大学,2016,1493
M,广西民族大学,2017,75
F,曲靖师范学院,2017,689
M,西藏民族大学,2015,142
M,四川化工职业技术学院,2017,192
M,昆明学院,2014,1629
M,贵州大学明德学院,2017,56
F,成都航空职业技术学院,2016,3865
M,陕西科技大学,2016,238
F,上海电子信息职业技术学院,2017,718
M,西北农林科技大学,2017,529
M,四川建筑职业技术学院,2017,77
M,云南机电职业技术学院,2017,18
M,曲靖师范学院,2016,138
M,石家庄铁道大学,2016,12
M,广东石油化工学院,2017,2650
F,陕西科技大学,2015,321
M,陕西科技大学,2015,670
M,兰州理工大学,2015,525
M,桂林理工大学,2017,130
M,云南农业大学,2017,6
M,华南农业大学,2016,1258
M,昆明学院,2014,331
F,兰州理工大学,2017,234
M,肇庆学院,2017,197
M,广西师范大学,2016,362
F,广西师范大学,2016,909
M,广西民族大学,2017,406
M,德宏职业学院,2017,30
M,桂林理工大学,2016,455
M,西北农林科技大学,2016,435
M,亳州学院,2016,22
F,西北农林科技大学,2017,223
F,四川化工职业技术学院,2016,1198
M,广西师范大学,2017,263
M,浙江理工大学,2016,67
M,德宏职业学院,2017,22
M,广西科技大学,2017,86
M,广西中医药大学赛恩斯新医药学院,2016,618
