性别,大学,入学年,J值
M,西华大学,2018,98
M,佛山科学技术学院,2016,2633
M,四川民族学院,2015,3390
M,包头师范学院,2016,46
M,石家庄铁道大学,2017,326
F,陕西科技大学,2018,66
M,四川农业大学,2016,5078
M,西南医科大学,2015,8490
M,四川信息职业技术学院,2017,2425
F,湖南财政经济学院,2017,781
M,广西幼儿师范高等专科学校,2017,1101
M,广西民族大学,2017,731
F,山东理工大学,2017,1860
M,陕西科技大学,2016,11056
M,浙江理工大学,2016,242
M,广西师范大学,2016,5642
M,广西科技大学鹿山学院,2014,55
F,河北师范大学,2018,40
M,桂林理工大学,2016,3364
M,陕西科技大学,2017,5266
F,陕西科技大学,2017,967
M,湖南师范大学,2018,36
M,呼和浩特职业学院,2017,862
M,河北农业大学,2018,35
F,兰州理工大学,2017,808
M,成都理工大学,2016,2721
F,梧州学院,2016,29317
M,内蒙古大学,2018,34
M,厦门海洋职业技术学院,2018,6
F,河北科技大学,2018,43
M,西华大学,2017,2015
F,陕西科技大学,2016,4526
M,山东理工大学,2017,301
M,湖南文理学院,2017,637
M,广西师范大学,2017,4148
F,云南大学,2018,10
F,湖南财政经济学院,2016,1532
M,西南科技大学,2016,4785
M,河北科技大学,2018,44
M,广西师范大学,2017,517
F,广西师范大学,2016,1879
M,广西师范大学,2017,4063
M,赤峰学院,2018,53
F,山东师范大学,2016,1277
M,成都工业学院,2018,25
M,西安航空职业技术学院,2017,2157
M,广西农业职业技术学院,2017,628
M,内蒙古大学,2018,34
M,黑龙江大学,2018,18
M,河北农业大学,2018,14
M,河北农业大学,2018,24
F,广西师范学院,2017,2486
F,广西民族大学,2016,2133
M,河北师范大学,2018,18
F,呼伦贝尔学院,2016,228
M,佳木斯大学,2017,705
M,陕西科技大学,2018,36
F,西华大学,2017,10691
M,陕西科技大学,2018,12
F,莆田学院,2017,1997
M,河北农业大学,2018,40
M,塔里木大学,2017,287
M,桂林理工大学,2017,582
M,黑龙江八一农垦大学,2018,28
M,湖南财政经济学院,2017,714
M,黑龙江大学,2018,10
M,聊城大学,2018,24
M,内蒙古大学,2018,34
M,陕西科技大学,2018,49
M,河北交通职业技术学院,2017,45
M,贵州理工学院,2016,5199
M,河北农业大学,2018,22
F,河北农业大学,2018,76
M,内蒙古电子信息职业技术学院,2017,209
F,福建信息职业技术学院,2016,1037
F,内蒙古医科大学,2017,249
F,齐鲁工业大学,2016,1504
M,六盘水师范学院,2018,29
F,陕西科技大学,2018,14
F,玉溪师范学院,2017,526
M,广西师范大学,2017,2998
M,陕西科技大学,2015,2071
M,内蒙古大学,2018,63
M,陕西科技大学,2018,39
M,桂林理工大学,2016,551
M,河北农业大学,2018,66
F,泉州师范学院,2015,8323
M,河北农业大学,2018,24
M,大连海事大学,2018,26
F,桂林医学院,2017,7207
M,陕西科技大学,2017,5492
M,西南石油大学,2018,20
M,西南石油大学,2018,12
M,东北林业大学,2017,14
M,石家庄学院,2016,992
M,内蒙古大学,2018,62
M,陕西科技大学,2018,10
F,广西中医药大学赛恩斯新医药学院,2017,309
M,陕西科技大学,2018,30
M,贵州理工学院,2017,205
M,成都理工大学,2017,1819
M,北华航天工业学院,2018,1273
M,湖南工业大学,2017,169
M,钦州学院,2016,260
M,内蒙古大学,2018,46
M,河北农业大学,2018,66
M,聊城大学,2018,52
F,广西师范学院师园学院,2017,796
F,广西民族大学,2017,466
F,成都师范学院,2017,1714
M,广西工业职业技术学院,2017,5260
M,广西师范大学,2016,817
F,广西师范大学,2016,3966
M,河北师范大学,2018,62
F,内蒙古大学,2018,45
F,广西师范学院,2017,4653
F,西安航空职业技术学院,2016,1179
M,河北农业大学,2018,45
M,广西机电职业技术学院,2017,1209
F,陕西科技大学,2018,92
M,陕西科技大学,2018,2
F,玉溪师范学院,2016,633
F,河北农业大学,2018,428
M,四川化工职业技术学院,2015,1499
M,内蒙古大学,2018,101
M,四川民族学院,2017,3915
M,河北农业大学,2018,22
M,四川化工职业技术学院,2017,2307
F,西华大学,2018,34
F,山东理工大学,2016,2111
M,龙岩学院,2017,2440
M,内江职业技术学院,2017,303
M,陕西科技大学,2018,71
F,西南医科大学,2017,8401
F,辽宁大学,2017,18
M,浙江水利水电学院,2018,1115
M,东莞理工学院城市学院,2018,22
M,莆田学院,2017,2696
F,广西师范大学,2017,3422
M,浙江理工大学,2016,6
M,陕西科技大学,2018,6
M,福建卫生职业技术学院,2017,3952
M,内蒙古大学,2018,14
F,玉林师范学院,2017,1439
F,广西中医药大学赛恩斯新医药学院,2016,3082
M,陕西科技大学,2018,52
M,聊城大学,2018,16
F,河北师范大学,2018,124
M,贵州理工学院,2016,2475
M,广西师范大学,2016,1221
F,广西中医药大学,2016,2233
M,西华大学,2018,102
M,内蒙古大学,2018,64
M,广西中医药大学赛恩斯新医药学院,2017,1375
M,江苏第二师范学院,2018,2
F,河北师范大学,2018,22
M,陕西科技大学,2018,16
M,包头师范学院,2016,557
F,陕西科技大学,2018,30
M,陕西科技大学,2018,26
M,黑龙江八一农垦大学,2018,18
M,陕西科技大学,2016,752
M,包头师范学院,2016,73
F,陕西科技大学,2018,54
M,陕西科技大学,2018,74
F,包头师范学院,2018,64
M,陕西科技大学,2018,38
M,西南财经大学,2018,12
M,陕西科技大学,2018,19
F,湖南财政经济学院,2017,1697
M,四川农业大学,2016,123
F,河北科技大学,2018,44
F,西北农林科技大学,2017,2743
F,莆田学院,2016,2552
M,陕西科技大学,2018,20
M,河北农业大学,2018,56
M,南方医科大学,2018,14
F,桂林师范高等专科学校,2017,809
M,河北大学,2018,12
M,石河子大学,2016,1668
M,河北农业大学,2018,24
F,陕西科技大学,2018,72
M,华南农业大学,2018,12
M,广西中医药大学赛恩斯新医药学院,2016,838
M,内蒙古大学,2018,68
M,湖南大学,2017,435
M,河北农业大学,2018,62
F,河北农业大学,2018,54
F,河北农业大学,2018,6
M,陕西科技大学,2018,38
F,内蒙古大学,2018,141
M,河北农业大学,2018,14
M,河北科技大学,2018,14
F,陕西科技大学,2018,110
M,桂林理工大学,2017,182
M,桂林理工大学,2015,393
M,内蒙古大学,2018,36
M,贵州职业技术学院,2017,233
M,山东师范大学,2017,2027
F,陕西科技大学,2017,661
M,陕西科技大学,2018,56
M,上海教育,2014,1165
M,陕西科技大学,2018,20
F,河北农业大学,2018,40
F,陕西科技大学,2017,949
M,西南科技大学,2017,2812
M,石河子大学,2017,347
F,广西中医药大学赛恩斯新医药学院,2017,2655
F,山东科技大学,2017,3371
M,河北农业大学,2018,21
M,华南农业大学,2018,4
M,广西师范大学,2017,2003
M,山东理工大学,2016,138
M,内蒙古大学,2018,34
M,湖南财政经济学院,2017,350
M,陕西科技大学,2018,62
M,厦门大学,2017,2950
M,陕西科技大学,2018,20
M,华北水利水电大学,2018,16
F,莆田学院,2016,953
M,浙江工商大学杭州商学院,2016,188
F,内蒙古大学,2018,44
F,河北农业大学,2018,32
M,广西民族大学,2017,550
M,陕西科技大学,2018,16
M,湖南师范大学,2018,58
M,河北金融学院,2016,8
M,西华大学,2018,108
M,广西民族大学,2017,1332
M,湖南工业大学,2018,40
F,玉溪师范学院,2016,627
M,陕西科技大学,2018,60
M,西南石油大学,2018,41
F,西华大学,2018,437
M,陕西科技大学,2018,12
M,西南石油大学,2018,8
M,西安石油大学,2017,2057
M,河北金融学院,2015,31
F,广西师范大学,2015,579
M,湖南文理学院,2017,509
F,桂林理工大学,2017,379
M,南京邮电大学,2018,39
M,陕西科技大学,2018,30
M,陕西科技大学,2018,24
M,陕西科技大学,2017,3424
M,陕西科技大学,2018,26
M,广西中医药大学赛恩斯新医药学院,2017,158
M,陕西科技大学,2018,40
M,陕西科技大学,2018,44
M,柳州职业技术学院,2016,683
F,成都农业科技职业学院,2017,1739
M,河北工程技术学院,2017,69
M,湖南文理学院,2016,223
M,陕西科技大学,2018,4
M,青岛科技大学,2017,1739
M,大连海事大学,2018,12
M,陕西科技大学,2018,10
M,山东科技大学,2017,2561
F,陕西科技大学,2017,380
M,陕西科技大学,2018,16
M,莆田学院,2017,3940
M,黑龙江大学,2018,64
F,华南农业大学,2016,148
F,桂林理工大学,2017,1390
F,贵州医科大学,2017,1036
M,内蒙古大学,2018,58
F,湖南师范大学,2016,310
F,广西经济管理干部学院,2017,1111
M,陕西科技大学,2018,35
M,陕西科技大学,2018,44
M,聊城大学,2018,20
M,西南石油大学,2016,1505
M,内蒙古大学,2018,36
F,内蒙古大学,2018,102
M,陕西科技大学,2017,942
M,内蒙古大学,2018,42
F,内蒙古大学,2018,59
M,赤峰学院,2018,6
M,贵州工程应用技术学院,2015,2963
F,广西师范大学,2017,4155
F,河北科技大学,2018,34
M,陕西科技大学,2018,4
M,川北医学院,2018,21
M,吉林电子信息职业技术学院,2017,9
F,西南科技大学,2016,1383
M,曲靖师范学院,2017,955
M,湘南学院,2018,44
F,内蒙古大学,2017,425
F,陕西科技大学,2017,1079
M,福建工程学院,2017,1357
M,陕西科技大学,2018,4
F,陕西科技大学,2018,49
M,华南农业大学,2018,30
F,河北农业大学,2018,23
F,六盘水师范学院,2018,4
F,陕西科技大学,2018,181
M,陕西科技大学,2018,26
F,广西经贸职业技术学院,2017,1183
M,河北农业大学,2018,26
M,华南农业大学,2018,44
M,河北农业大学,2018,32
M,华南农业大学,2018,82
F,广西民族大学,2016,1186
M,陕西科技大学,2018,26
M,陕西科技大学,2018,50
M,黑龙江大学,2018,68
M,内蒙古大学,2018,28
M,华南农业大学,2018,50
F,昆明理工大学,2018,45
M,内蒙古大学,2018,64
F,兰州理工大学,2017,8521
M,南京邮电大学,2018,24
F,陕西科技大学,2018,26
M,陕西科技大学,2018,76
M,渤海大学,2017,628
M,广西民族大学,2017,184
M,西华大学,2018,68
F,陕西科技大学,2018,18
F,广西师范大学,2017,531
M,西北农林科技大学,2017,4498
M,陕西科技大学,2018,6
M,广西科技大学鹿山学院,2015,65
F,河北农业大学,2018,59
F,陕西科技大学,2018,178
M,湖南工业大学,2017,0
M,陕西科技大学,2018,20
F,上海海事大学,2014,127
M,湖南大学,2015,610
M,华南农业大学,2018,0
F,成都农业科技职业学院,2017,1432
M,西华大学,2018,52
M,广西电力职业技术学院,2017,4818
M,湖南师范大学,2018,26
M,东北石油大学,2017,8
M,广西中医药大学赛恩斯新医药学院,2016,1434
M,广西师范大学,2016,4968
F,广西师范大学,2017,996
M,陕西科技大学,2018,54
F,西南石油大学,2015,4243
F,湘南学院,2018,26
M,陕西科技大学,2018,20
M,大连海事大学,2018,22
M,西南石油大学,2018,152
M,绵阳师范学院,2017,237
M,贵州民族大学,2015,88
M,普洱学院,2017,38
M,南京邮电大学,2018,72
M,聊城大学,2018,18
M,昆明理工大学,2018,22
M,湖南财政经济学院,2017,1174
M,桂林理工大学,2016,1916
M,陕西科技大学,2018,30
M,安徽师范大学,2018,35
M,泉州师范学院,2017,215
M,华南农业大学,2018,0
M,陕西科技大学,2018,40
M,陕西铁路工程职业技术学院,2017,11249
F,福建工程学院,2017,2976
M,华南农业大学,2018,16
M,西南石油大学,2018,18
M,河北农业大学,2018,59
M,大连海事大学,2018,20
F,广西师范大学,2017,391
M,西华大学,2018,63
M,湖南工业大学,2018,14
M,聊城大学,2018,24
M,陕西科技大学,2018,21
M,河北农业大学,2018,37
F,陕西科技大学,2016,933
M,西南石油大学,2018,10
F,云南大学,2018,12
F,内蒙古大学,2017,1703
M,河北农业大学,2017,18
M,河北农业大学,2018,18
F,内蒙古大学,2018,50
F,广西中医药大学赛恩斯新医药学院,2016,5712
M,包头师范学院,2018,8
M,大连海事大学,2018,20
M,华南农业大学,2018,2
M,陕西科技大学,2018,40
M,辽宁大学,2017,0
F,绵阳师范学院,2016,114
F,陕西科技大学,2017,1552
F,聊城大学,2018,69
M,华南农业大学,2018,12
F,广西师范大学,2017,308
M,大连海事大学,2018,44
M,西北农林科技大学,2017,1453
F,河北农业大学,2018,14
F,内蒙古化工职业学院,2017,1478
M,昆明理工大学,2009,823
F,兴义民族师范学院,2016,709
M,内蒙古大学,2018,56
M,河北科技大学,2018,20
M,内蒙古大学,2018,38
F,西南科技大学,2016,6337
F,广西师范大学,2015,482
F,成都农业科技职业学院,2017,432
M,河北农业大学,2018,23
M,内蒙古工业大学,2016,2509
F,赤峰学院,2018,44
M,陕西科技大学,2018,22
M,陕西科技大学,2018,28
M,陕西科技大学,2018,14
F,东莞理工学院城市学院,2018,8
F,西南石油大学,2015,6037
M,云南大学,2018,14
M,陕西科技大学,2017,518
F,陕西科技大学,2017,497
M,陕西科技大学,2018,34
M,陕西科技大学,2018,20
M,云南大学,2018,50
M,聊城大学,2018,4
M,广西民族大学相思湖学院,2017,68
F,陕西科技大学,2018,24
M,陕西科技大学,2018,95
M,陕西科技大学,2018,31
M,河北工程技术学院,2016,39
F,广西师范大学,2016,5892
F,西北农林科技大学,2017,1598
M,陕西科技大学,2018,33
F,梧州学院,2015,4196
F,河北金融学院,2018,51
M,西南石油大学,2018,10
M,佛山科学技术学院,2018,22
M,河北农业大学,2018,41
F,中国石油大学（华东）,2017,2674
M,西安医学院,2017,309
M,河北农业大学,2018,50
M,陕西科技大学,2018,34
M,内蒙古大学,2018,36
M,贵州师范大学,2018,25
M,内蒙古大学,2018,82
M,华南农业大学,2018,52
F,陕西科技大学,2018,84
M,华南农业大学,2017,1142
F,山东理工大学,2017,721
F,河北农业大学,2018,103
M,陕西科技大学,2018,12
F,西南医科大学,2017,1102
F,河北交通职业技术学院,2017,1163
M,杭州电子科技大学,2018,26
M,赤峰学院,2018,26
F,东莞理工学院城市学院,2018,57
M,内蒙古大学,2018,50
F,广西教育学院,2017,105
M,四川水利职业技术学院,2016,108
M,华南农业大学,2018,6
M,宁德师范学院,2016,2580
M,安徽科技学院,2017,901
M,贵州工程应用技术学院,2017,233
M,华南农业大学,2018,6
F,玉溪师范学院,2017,2783
M,亳州学院,2017,208
F,聊城大学,2018,60
M,贵州理工学院,2017,1977
M,东华大学,2018,40
M,东莞理工学院城市学院,2018,2
M,华南农业大学,2018,24
M,赤峰学院,2018,18
M,广西科技大学鹿山学院,2014,11
F,内蒙古化工职业学院,2017,1010
M,陕西科技大学,2018,8
F,铜仁学院,2017,3982
M,成都理工大学,2017,5740
M,广西建设职业技术学院,2017,1022
F,湖南工业大学,2018,46
M,华南农业大学,2018,14
M,内蒙古大学,2018,94
M,赤峰学院,2018,20
M,广西中医药大学赛恩斯新医药学院,2017,518
M,广西科技大学鹿山学院,2016,3723
F,广西师范大学,2016,452
M,玉溪师范学院,2016,418
F,广西民族大学,2016,743
M,河北农业大学,2018,72
M,陕西科技大学,2018,10
M,陕西科技大学,2018,50
F,内蒙古大学,2016,433
M,河北师范大学,2018,20
F,河北农业大学,2018,47
F,陕西科技大学,2018,22
M,河北农业大学,2018,24
F,西南石油大学,2017,1452
F,玉溪师范学院,2016,266
M,河北农业大学,2016,70
F,华东政法大学,2000,104
M,云南艺术学院,2017,36
M,莆田学院,2017,2469
M,陕西科技大学,2018,20
M,广西师范大学,2015,837
M,黑龙江八一农垦大学,2018,18
F,广西师范大学,2016,909
M,湖南工业大学,2018,44
M,西北农林科技大学,2016,3096
M,杭州电子科技大学,2018,38
F,陕西科技大学,2018,40
M,内蒙古大学,2018,28
M,贵州师范大学,2016,1033
M,陕西科技大学,2018,45
M,赤峰学院,2018,14
M,佛山科学技术学院,2018,29
M,东莞理工学院城市学院,2018,2
F,广西师范大学,2017,1693
M,陕西科技大学,2018,16
F,南京邮电大学,2018,35
F,华南农业大学,2018,55
M,六盘水师范学院,2018,28
M,赤峰学院,2018,4
M,陕西科技大学,2018,48
M,聊城大学,2018,6
M,湖南师范大学,2016,322
M,陕西科技大学,2018,62
M,淮南师范学院,2017,18
M,陕西科技大学,2018,8
M,黑龙江大学,2018,38
M,闽西职业技术学院,2016,2099
M,东莞理工学院城市学院,2018,21
M,东莞理工学院城市学院,2018,6
M,莆田学院,2017,3121
M,贵州大学明德学院,2015,104
F,莆田学院,2017,2693
M,沧州师范学院,2018,42
F,内蒙古大学,2018,90
M,华北水利水电大学,2018,8
M,梧州学院,2017,1434
M,西南林业大学,2015,29
F,陕西科技大学,2017,2609
M,广东第二师范学院,2016,18
M,河北农业大学,2017,230
M,西华师范大学,2017,805
M,中国地质大学（武汉）,2016,240
M,四川化工职业技术学院,2017,715
M,陕西科技大学,2018,8
M,陕西科技大学,2018,24
M,广西民族大学,2017,646
F,广西师范大学,2017,959
M,浙江理工大学,2017,69
M,陕西科技大学,2018,16
M,桂林理工大学,2016,2265
M,陕西科技大学,2018,18
M,赤峰学院,2018,28
F,赤峰学院,2018,22
F,陕西科技大学,2018,16
M,湖南工业大学,2018,10
M,陕西科技大学,2018,32
F,内蒙古大学,2018,57
M,西南石油大学,2018,40
M,昆明理工大学,2018,88
M,佛山科学技术学院,2018,47
F,陕西科技大学,2018,12
M,四川水利职业技术学院,2016,127
M,聊城大学,2018,14
M,陕西科技大学,2016,645
M,西南林业大学,2016,16
M,华北水利水电大学,2018,18
M,河北农业大学,2018,28
M,陕西科技大学,2018,26
M,石河子大学,2017,757
F,广西师范大学,2017,429
M,西华大学,2018,8
M,昆明冶金高等专科学校,2016,34
F,西北农林科技大学,2016,835
M,浙江理工大学,2015,93
M,陕西科技大学,2018,32
F,河北农业大学,2018,43
M,昆明理工大学,2018,8
M,南京邮电大学,2018,46
M,陕西科技大学,2018,72
M,陕西科技大学,2018,6
F,铜仁学院,2017,1447
M,东莞理工学院城市学院,2018,18
F,陕西科技大学,2018,30
F,桂林理工大学,2017,283
M,广西师范大学,2017,955
M,成都学院,2016,730
M,赤峰学院,2018,29
F,云南大学,2018,16
F,陕西科技大学,2018,41
M,河北科技大学,2018,52
M,大连海事大学,2015,284
M,厦门海洋职业技术学院,2018,38
M,华南农业大学,2015,8519
M,亳州学院,2017,110
F,广西师范大学,2017,213
M,云南艺术学院,2018,22
F,赤峰学院,2018,12
F,陕西科技大学,2018,6
F,聊城大学,2018,40
M,内蒙古大学,2018,16
M,聊城大学,2018,48
M,上海教育,2016,1309
M,赤峰学院,2018,14
F,内蒙古大学,2017,284
M,广西师范大学,2017,339
M,赤峰学院,2018,4
F,广西中医药大学赛恩斯新医药学院,2017,851
F,东莞理工学院城市学院,2018,21
M,大连理工大学,2016,8
M,湖南工业大学,2018,19
M,上海中华职业技术学院,2017,427
M,四川化工职业技术学院,2016,1110
F,东莞理工学院城市学院,2018,22
M,陕西铁路工程职业技术学院,2017,4513
F,湖南财政经济学院,2016,266
M,赤峰学院,2018,18
M,莆田学院,2016,787
F,内蒙古大学,2018,42
F,上海教育,2014,2242
F,广西师范大学,2015,980
M,河北农业大学,2018,34
M,赤峰学院,2018,38
M,泉州华光职业学院,2016,521
F,陕西科技大学,2017,1143
M,陕西科技大学,2018,34
M,东莞理工学院城市学院,2018,18
M,铜仁学院,2016,2559
F,河北科技大学,2018,52
M,赤峰学院,2018,26
M,杭州电子科技大学,2018,36
M,聊城大学,2018,4
M,陕西科技大学,2018,6
F,陕西科技大学,2017,504
M,齐鲁工业大学,2016,495
M,湖南文理学院,2017,151
M,东莞理工学院城市学院,2018,26
F,昆明理工大学,2016,43
M,陕西科技大学,2016,3106
M,湖南师范大学,2018,18
F,赤峰学院,2018,58
F,广西中医药大学赛恩斯新医药学院,2017,341
M,辽宁大学,2017,24
M,中国矿业大学,2017,303
F,河北农业大学,2018,41
F,广西师范大学,2017,768
F,商洛学院,2016,1261
M,湖南工业大学,2018,34
M,南京邮电大学,2018,6
M,邵阳学院,2017,890
F,阿坝师范学院,2017,312
M,广西民族大学,2017,648
F,河北农业大学,2018,48
M,西南石油大学,2018,24
M,陕西科技大学,2018,27
F,赤峰学院,2018,11
F,赤峰学院,2018,12
M,川北医学院,2016,2934
F,内蒙古大学,2018,32
M,华南农业大学,2018,22
M,西南石油大学,2018,34
M,桂林理工大学,2017,1879
M,河北科技大学,2018,37
F,河北农业大学,2018,164
F,东莞理工学院城市学院,2018,16
M,包头师范学院,2018,44
M,昆明理工大学,2018,65
M,湖南师范大学,2018,40
M,赤峰学院,2018,15
F,赤峰学院,2018,66
M,内蒙古大学,2018,20
M,赤峰学院,2018,20
M,广西中医药大学赛恩斯新医药学院,2017,218
M,河北农业大学,2018,59
F,广西师范大学,2017,1941
F,广西师范大学,2016,1421
M,黑龙江八一农垦大学,2018,8
F,包头师范学院,2018,56
F,聊城大学,2018,44
F,玉溪师范学院,2017,967
M,陕西科技大学,2018,2
F,山东理工大学,2017,1096
M,河北科技大学,2018,22
M,亳州学院,2017,64
M,陕西科技大学,2018,12
M,成都工业学院,2017,1723
M,广西教育学院,2017,641
F,赤峰学院,2018,25
M,云南大学,2018,47
F,上海东海职业技术学院,2017,1392
M,聊城大学,2018,20
M,赤峰学院,2018,26
F,河北农业大学,2018,52
M,湖南工业大学,2018,18
M,陕西科技大学,2018,16
M,包头师范学院,2018,20
M,包头师范学院,2018,18
F,昆明理工大学,2018,36
M,华南农业大学,2018,22
M,内蒙古大学,2018,18
M,赤峰学院,2018,24
M,湖南工业大学,2018,14
M,东莞理工学院城市学院,2018,26
F,广西建设职业技术学院,2016,3580
F,黑龙江八一农垦大学,2018,44
M,昆明理工大学,2018,29
F,华南农业大学,2017,2013
F,内蒙古大学,2018,46
M,赤峰学院,2018,38
M,河北科技大学,2018,58
M,东莞理工学院城市学院,2018,38
F,黎明职业大学,2016,8250
F,陕西科技大学,2017,1665
M,东莞理工学院城市学院,2018,20
M,赤峰学院,2018,13
M,陕西科技大学,2018,22
F,陕西科技大学,2018,82
M,湖南财政经济学院,2016,739
F,陕西科技大学,2018,60
F,广西师范大学,2017,479
M,东莞理工学院城市学院,2018,0
M,陕西科技大学,2018,16
M,赤峰学院,2018,14
M,西京学院,2016,1176
M,陕西科技大学,2018,16
F,西南医科大学,2018,20
M,广西科技大学,2017,357
F,内蒙古大学,2018,34
M,陕西科技大学,2018,14
M,湖南工业大学,2018,23
M,广西师范大学,2017,285
M,赤峰学院,2018,35
F,聊城大学,2018,12
M,成都航空职业技术学院,2016,2650
F,陕西科技大学,2018,36
F,赤峰学院,2018,30
F,陕西科技大学,2018,38
M,内蒙古大学,2018,14
M,陕西科技大学,2018,12
M,广西科技大学鹿山学院,2015,71
M,贵州大学,2018,2
M,东莞理工学院城市学院,2018,22
M,陕西科技大学,2018,20
M,赤峰学院,2018,8
M,东莞理工学院城市学院,2018,18
M,河北科技大学,2018,12
F,陕西科技大学,2018,52
F,湖南工业大学,2018,21
M,东莞理工学院城市学院,2018,26
M,陕西科技大学,2017,2748
M,六盘水师范学院,2018,25
M,陕西科技大学,2018,36
M,西北农林科技大学,2017,2051
M,赤峰学院,2018,16
F,华南农业大学,2018,120
F,昆明理工大学,2017,58
M,湖南工业大学,2018,6
F,湖南工业大学,2018,12
F,河北交通职业技术学院,2017,1030
M,东莞理工学院城市学院,2018,30
M,桂林理工大学,2016,359
F,云南大学,2018,6
M,广西中医药大学赛恩斯新医药学院,2016,5329
M,赤峰学院,2018,26
M,赤峰学院,2018,4
M,陕西科技大学,2018,101
M,昆明理工大学,2018,4
M,包头师范学院,2018,22
F,佛山科学技术学院,2018,62
F,赤峰学院,2018,32
M,赤峰学院,2018,9
M,杭州电子科技大学,2018,6
F,陕西科技大学,2018,42
F,赤峰学院,2018,30
M,陕西科技大学,2018,8
F,聊城大学,2018,22
M,湖南工业大学,2018,49
F,陕西科技大学,2018,15
M,陕西科技大学,2018,62
M,桂林理工大学,2016,2771
M,四川信息职业技术学院,2017,141
M,安徽科技学院,2017,2768
M,云南民族大学,2018,653
M,赤峰学院,2018,46
M,赤峰学院,2018,50
M,东莞理工学院城市学院,2018,50
F,陕西科技大学,2016,502
F,亳州学院,2017,50
M,安徽医科大学,2016,77
M,河北农业大学,2018,
F,河北农业大学,2018,6
F,佛山科学技术学院,2018,18
M,东莞理工学院城市学院,2018,12
M,内蒙古电子信息职业技术学院,2017,24
M,赤峰学院,2018,24
F,赤峰学院,2018,40
M,东莞理工学院城市学院,2018,29
M,西华大学,2017,988
F,东莞理工学院城市学院,2018,34
M,兰州理工大学,2017,98
M,河北农业大学,2018,4
F,山东师范大学,2017,2239
F,桂林理工大学,2017,639
F,昆明理工大学,2017,889
F,桂林理工大学,2017,154
M,内蒙古大学,2018,16
F,陕西科技大学,2018,28
F,昆明理工大学,2018,33
M,贵州师范大学,2016,70
M,包头师范学院,2018,30
M,陕西科技大学,2018,10
M,广西师范大学,2016,1183
M,桂林理工大学,2017,373
M,杭州电子科技大学,2016,159
M,广西中医药大学赛恩斯新医药学院,2016,1211
F,黑龙江八一农垦大学,2018,20
M,东华大学,2018,28
M,赤峰学院,2018,45
M,厦门大学,2017,6312
M,亳州学院,2017,42
M,河北师范大学,2018,30
F,湖南师范大学,2018,20
F,西南医科大学,2018,24
F,成都理工大学,2017,1280
F,山东师范大学,2017,933
M,广西师范大学,2017,527
M,内蒙古大学,2018,34
F,昆明理工大学,2016,108
M,兰州理工大学,2016,5062
M,河北农业大学,2018,25
M,华南农业大学,2017,77
F,河北师范大学,2018,93
F,河北农业大学,2018,48
F,陕西科技大学,2017,928
F,赤峰学院,2018,44
M,广西师范大学,2015,352
F,漳州卫生职业学院,2017,119
M,赤峰学院,2018,8
M,铜陵学院,2017,74
M,昆明理工大学,2018,32
M,成都理工大学,2017,218
F,广西中医药大学赛恩斯新医药学院,2015,866
M,广西中医药大学赛恩斯新医药学院,2016,3142
F,湖南工业大学,2018,42
M,广西科技大学,2016,184
F,赤峰学院,2018,30
F,湖南师范大学,2018,30
F,东莞理工学院城市学院,2018,44
F,河北农业大学,2018,66
M,河北科技大学,2018,10
F,西华大学,2018,2
M,陕西科技大学,2018,10
M,河北师范大学,2018,26
F,湖南工业大学,2018,28
M,陕西科技大学,2017,3998
M,河北师范大学,2018,611
M,华南农业大学,2018,8
M,广西民族大学,2017,672
M,广西民族大学,2017,115
F,华南农业大学,2018,42
F,广西师范大学,2017,3612
M,中山大学,2018,24
M,湖南工业大学,2018,12
F,贵州民族大学,2017,408
M,昆明理工大学,2018,20
M,山东理工大学,2017,1301
M,陕西科技大学,2018,8
M,广西师范大学,2017,288
M,东莞理工学院城市学院,2018,26
M,华南农业大学,2018,18
M,湖南文理学院,2016,34
M,河北建材职业技术学院,2016,6
M,石河子大学,2017,428
M,河北农业大学,2017,97
F,内蒙古大学,2018,30
M,黎明职业大学,2017,1280
F,西华大学,2018,26
M,桂林理工大学,2016,1738
M,昆明学院,2016,1245
M,内蒙古大学,2018,24
M,陕西铁路工程职业技术学院,2016,5755
M,佛山科学技术学院,2018,19
F,广西中医药大学赛恩斯新医药学院,2017,4219
M,广西民族大学,2016,186
M,陕西科技大学,2018,22
F,陕西科技大学,2017,322
M,赤峰学院,2018,26
M,内蒙古大学,2018,22
F,石河子大学,2016,1838
M,内蒙古医科大学,2015,4
M,大连海事大学,2018,44
M,陕西科技大学,2017,567
M,河北农业大学,2018,474
F,玉林师范学院,2017,2838
M,湖南工业大学,2018,22
M,聊城大学,2018,6
F,内蒙古大学,2018,61
M,广西民族大学,2017,330
M,江苏第二师范学院,2018,14
M,塔里木大学,2018,15
M,厦门医学院,2017,438
M,贵州师范大学,2016,411
M,陕西科技大学,2015,2814
M,赤峰学院,2018,6
M,西南医科大学,2018,10
M,陕西科技大学,2018,24
M,陕西科技大学,2016,708
M,陕西科技大学,2018,28
M,陕西科技大学,2018,31
M,东北农业大学,2018,15
F,赤峰学院,2018,22
M,广西科技大学鹿山学院,2017,114
M,湖南中医药大学,2017,675
M,大连海事大学,2018,40
M,昆明理工大学,2018,20
M,东莞理工学院城市学院,2018,6
M,广西师范大学,2015,495
M,华南农业大学,2018,17
M,广西民族大学,2017,148
M,陕西科技大学,2016,730
M,东莞理工学院城市学院,2018,10
